Time;User;Action;Information
06/02/2020 09:28:00; 104;Download archive;Resource
06/02/2020 09:28:00; 104;Course view;Resource
06/02/2020 09:27:00; 104;Download archive;Resource
06/02/2020 09:27:00; 104;Download archive;Resource
06/02/2020 09:25:00; 104;Course view;Resource
06/02/2020 09:25:00; 104;Course view;Resource
06/02/2020 09:25:00; 104;Course view;Resource
06/02/2020 09:25:00; 104;Course view;Resource
06/02/2020 09:25:00; 104;Course view;Resource
06/02/2020 09:25:00; 104;Course view;Resource
06/02/2020 08:34:00; 104;Course view;Resource
06/02/2020 08:33:00; 104;Course view;Resource
06/02/2020 08:30:00; 104;Course view;Page
06/02/2020 02:43:00; 81;Course view;Resource
06/02/2020 02:43:00; 81;Course view;Resource
06/02/2020 02:34:00; 81;Course view;Resource
06/02/2020 02:26:00; 81;Create subscription;Forum
05/02/2020 15:03:00; 19;Forum view discussion;Forum
04/02/2020 19:34:00; 53;Course view;Resource
04/02/2020 19:33:00; 53;Course view;Resource
04/02/2020 19:32:00; 53;Course view;Resource
04/02/2020 19:28:00; 53;Create subscription;Forum
04/02/2020 12:08:00; 19;Course view;Assignment
04/02/2020 12:08:00; 19;Assignment view;Assignment
04/02/2020 12:08:00; 19;Course view;Assignment
04/02/2020 12:08:00; 19;Course view;Assignment
04/02/2020 12:07:00; 19;Course view;Assignment
04/02/2020 12:07:00; 19;Assignment view;Assignment
04/02/2020 12:07:00; 19;Course view;Assignment
04/02/2020 12:02:00; 19;Course view;Resource
04/02/2020 12:02:00; 19;Assignment view;Assignment
04/02/2020 12:02:00; 19;Course view;Assignment
03/02/2020 18:46:00; 77;Course view;Page
03/02/2020 18:45:00; 77;Course view;Resource
03/02/2020 18:43:00; 77;Course view;Resource
03/02/2020 14:27:00; 9;Course view;Resource
03/02/2020 11:30:00; 58;Course view;Resource
03/02/2020 11:30:00; 58;Course view;Resource
03/02/2020 11:30:00; 58;Course view;Resource
03/02/2020 11:29:00; 58;Course view;Resource
03/02/2020 11:29:00; 58;Course view;Resource
03/02/2020 11:29:00; 58;Course view;Resource
03/02/2020 11:29:00; 58;Course view;Resource
03/02/2020 11:29:00; 58;Course view;Resource
03/02/2020 11:29:00; 58;Course view;Resource
03/02/2020 11:29:00; 58;Course view;Resource
03/02/2020 11:28:00; 58;Course view;Resource
03/02/2020 11:28:00; 58;Course view;Resource
03/02/2020 11:28:00; 58;Course view;Resource
03/02/2020 11:28:00; 58;Course view;Resource
03/02/2020 11:28:00; 58;Course view;Resource
03/02/2020 11:28:00; 58;Course view;Resource
03/02/2020 10:24:00; 163;Course view;Resource
03/02/2020 10:23:00; 163;Course view;Resource
31/01/2020 18:23:00; 110;Course view;Resource
31/01/2020 18:22:00; 110;Course view;Resource
31/01/2020 18:21:00; 110;Course view;Resource
31/01/2020 18:20:00; 110;Course view;Resource
31/01/2020 18:20:00; 110;Course view;Resource
31/01/2020 16:33:00; 26;Course view;Resource
31/01/2020 16:28:00; 58;Course view;Resource
31/01/2020 16:28:00; 26;Course view;Resource
31/01/2020 16:15:00; 26;Course view;Resource
31/01/2020 16:06:00; 26;Course view;Resource
31/01/2020 16:06:00; 26;Course view;Resource
31/01/2020 16:06:00; 26;Course view;Resource
31/01/2020 16:05:00; 26;Course view;Resource
31/01/2020 16:04:00; 58;Course view;Resource
31/01/2020 16:02:00; 26;Course view;Resource
31/01/2020 16:02:00; 26;Course view;Resource
31/01/2020 16:02:00; 58;Course view;Resource
31/01/2020 16:02:00; 58;Course view;Resource
31/01/2020 16:01:00; 26;Course view;Resource
31/01/2020 16:01:00; 58;Assignment view;Assignment
31/01/2020 16:01:00; 58;Course view;Assignment
31/01/2020 15:45:00; 58;Course view;Resource
31/01/2020 15:45:00; 58;Course view;Resource
31/01/2020 15:45:00; 58;Course view;Resource
31/01/2020 15:44:00; 58;Course view;Resource
31/01/2020 15:44:00; 58;Course view;Resource
31/01/2020 11:56:00; 130;Course view;Resource
31/01/2020 09:34:00; 15;Forum view discussion;Forum
30/01/2020 13:39:00; 19;Forum view discussion;Forum
29/01/2020 14:36:00; 163;Assignment view;Assignment
29/01/2020 14:36:00; 163;Course view;Assignment
28/01/2020 23:10:00; 24;Course view;Resource
28/01/2020 22:42:00; 24;Course view;Resource
28/01/2020 22:41:00; 24;Course view;Resource
28/01/2020 21:57:00; 24;Course view;Resource
28/01/2020 21:56:00; 24;Course view;Resource
28/01/2020 21:18:00; 179;Course view;Resource
28/01/2020 21:18:00; 179;Course view;Resource
28/01/2020 19:28:00; 24;Course view;Resource
28/01/2020 19:25:00; 24;Course view;Resource
28/01/2020 19:23:00; 24;Course view;Resource
28/01/2020 19:00:00; 70;Forum view discussion;Forum
28/01/2020 19:00:00; 70;Course view;Forum
28/01/2020 19:00:00; 70;Create subscription;Forum
28/01/2020 18:16:00; 121;Course view;Resource
28/01/2020 18:15:00; 121;Course view;Resource
28/01/2020 12:47:00; 15;Assignment view;Assignment
28/01/2020 12:47:00; 15;Course view;Assignment
28/01/2020 12:10:00; 163;Course view;Resource
28/01/2020 12:10:00; 163;Course view;Resource
28/01/2020 12:10:00; 163;Course view;Resource
28/01/2020 12:09:00; 163;Course view;Resource
28/01/2020 12:08:00; 163;Course view;Assignment
28/01/2020 12:08:00; 163;Course view;Assignment
28/01/2020 12:08:00; 163;Course view;Assignment
28/01/2020 12:08:00; 163;Assignment view;Assignment
28/01/2020 12:08:00; 163;Course view;Assignment
27/01/2020 22:09:00; 24;Course view;Resource
27/01/2020 22:04:00; 24;Forum view discussion;Forum
27/01/2020 22:04:00; 24;Course view;Forum
27/01/2020 22:03:00; 24;Course view;Forum
27/01/2020 22:02:00; 24;Assignment view;Assignment
27/01/2020 22:02:00; 24;Course view;Assignment
27/01/2020 21:59:00; 24;Forum view discussion;Forum
27/01/2020 21:55:00; 24;Assignment view;Assignment
27/01/2020 21:55:00; 24;Course view;Assignment
27/01/2020 21:08:00; 19;Assignment view;Assignment
27/01/2020 21:08:00; 19;Course view;Assignment
27/01/2020 20:16:00; 92;Course view;Page
27/01/2020 20:16:00; 92;Create subscription;Forum
27/01/2020 13:17:00; 52;Forum view discussion;Forum
27/01/2020 13:17:00; 52;Course view;Forum
27/01/2020 13:06:00; 52;Forum view discussion;Forum
27/01/2020 12:30:00; 121;Course view;Resource
27/01/2020 10:12:00; 12;Course view;Resource
27/01/2020 10:11:00; 12;Course view;Resource
27/01/2020 09:40:00; 35;Course view;Resource
27/01/2020 09:33:00; 163;Forum view discussion;Forum
27/01/2020 09:29:00; 163;Forum view discussion;Forum
27/01/2020 09:29:00; 163;Forum view discussion;Forum
27/01/2020 09:28:00; 163;Forum view discussion;Forum
27/01/2020 09:28:00; 163;Course view;Forum
27/01/2020 09:24:00; 163;Forum view discussion;Forum
27/01/2020 08:47:00; 3;Course view;Resource
27/01/2020 08:44:00; 114;Quiz view summary;Quiz
27/01/2020 08:44:00; 114;Course view;Quiz
27/01/2020 08:43:00; 114;Quiz view summary;Quiz
27/01/2020 08:43:00; 114;Course view;Quiz
27/01/2020 08:38:00; 114;Quiz view summary;Quiz
27/01/2020 08:38:00; 114;Course view;Quiz
27/01/2020 08:32:00; 114;Quiz view summary;Quiz
27/01/2020 08:31:00; 114;Quiz view;Quiz
27/01/2020 08:31:00; 114;Quiz attempt;Quiz
27/01/2020 08:31:00; 114;Course view;Quiz
27/01/2020 08:28:00; 59;Course view;Resource
27/01/2020 08:28:00; 59;Course view;Resource
27/01/2020 08:27:00; 114;Quiz view summary;Quiz
27/01/2020 08:27:00; 114;Course view;Quiz
27/01/2020 08:27:00; 59;Course view;Resource
27/01/2020 08:27:00; 114;Course view;Quiz
27/01/2020 08:27:00; 114;Course view;Quiz
27/01/2020 08:24:00; 3;Quiz view summary;Quiz
27/01/2020 08:24:00; 3;Quiz close attempt;Quiz
27/01/2020 08:23:00; 3;Quiz review;Quiz
27/01/2020 08:23:00; 3;Quiz view;Quiz
27/01/2020 08:23:00; 3;Quiz review;Quiz
27/01/2020 08:23:00; 3;Quiz view;Quiz
27/01/2020 08:23:00; 3;Quiz view;Quiz
27/01/2020 08:23:00; 3;Quiz view;Quiz
27/01/2020 08:23:00; 3;Quiz view;Quiz
27/01/2020 08:23:00; 3;Quiz view;Quiz
27/01/2020 08:23:00; 59;Course view;Resource
27/01/2020 08:23:00; 3;Quiz view;Quiz
27/01/2020 08:23:00; 3;Quiz view;Quiz
27/01/2020 08:23:00; 3;Quiz view;Quiz
