time:timestamp,utente,Utente coinvolto,evento,Componente,concept:name,Descrizione;
6/02/2020 15:43,User 163,/,Corso: BASI DI DATI - 25880,Log,Visualizzato report log,The user with id '36980' viewed the log report for the course with id '1750'.;
6/02/2020 15:43,User 163,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '36980' viewed the course with id '1750'.;
6/02/2020 15:19,User 81,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '6756' viewed the course with id '1750'.;
6/02/2020 15:19,User 81,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '6756' viewed the course with id '1750'.;
6/02/2020 15:13,User 112,/,Corso: BASI DI DATI - 25880,Tour utente,Terminato tour,The user with id '11244' has ended the tour with id '3' at step index '0' (id '15') on the page with URL 'https://2018.aulaweb.unige.it/course/view.php?id=1750'.;
6/02/2020 15:13,User 112,/,Corso: BASI DI DATI - 25880,Tour utente,Visualizzato passo,The user with id '11244' has viewed the tour with id '3' at step index '0' (id '15') on the page with URL 'https://2018.aulaweb.unige.it/course/view.php?id=1750'.;
6/02/2020 15:13,User 112,/,Corso: BASI DI DATI - 25880,Tour utente,Avviato tour,The user with id '11244' has started the tour with id '3' on the page with URL 'https://2018.aulaweb.unige.it/course/view.php?id=1750'.;
6/02/2020 15:13,User 112,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '11244' viewed the course with id '1750'.;
6/02/2020 09:28,User 104,/,Cartella: Testi compitini e scritti anni accademici precedenti,Cartella,L'archivio zip della cartella è stato scaricato,The user with id '44736' downloaded a zip archive containing all the files from the folder activity with course module id '54201'.;
6/02/2020 09:28,User 104,/,Cartella: Testi compitini e scritti anni accademici precedenti,Cartella,Visualizzato modulo corso,The user with id '44736' viewed the 'folder' activity with course module id '54201'.;
"6/02/2020 09:27,User 104,/,""Cartella: Soluzioni di domande, scritti e compitini contribuite da studenti (grazie!)"",Cartella,L'archivio zip della cartella è stato scaricato,The user with id '44736' downloaded a zip archive containing all the files from the folder activity with course module id '54203'.";
6/02/2020 09:27,User 104,/,Cartella: Testi compitini e scritti anni accademici precedenti,Cartella,L'archivio zip della cartella è stato scaricato,The user with id '44736' downloaded a zip archive containing all the files from the folder activity with course module id '54201'.;
6/02/2020 09:25,User 104,/,URL: Soluzioni esercizi capitolo 2 e 3 (linguaggi relazionali e SQL) libro di testo,URL,Visualizzato modulo corso,The user with id '44736' viewed the 'url' activity with course module id '54204'.;
"6/02/2020 09:25,User 104,/,""Cartella: Soluzioni di domande, scritti e compitini contribuite da studenti (grazie!)"",Cartella,Visualizzato modulo corso,The user with id '44736' viewed the 'folder' activity with course module id '54203'.";
6/02/2020 09:25,User 104,/,URL: Altri esercizi basi di dati (molti con soluzioni),URL,Visualizzato modulo corso,The user with id '44736' viewed the 'url' activity with course module id '54202'.;
6/02/2020 09:25,User 104,/,Cartella: Testi compitini e scritti anni accademici precedenti,Cartella,Visualizzato modulo corso,The user with id '44736' viewed the 'folder' activity with course module id '54201'.;
6/02/2020 09:25,User 104,/,URL: possibili soluzioni primo compitino,URL,Visualizzato modulo corso,The user with id '44736' viewed the 'url' activity with course module id '75625'.;
6/02/2020 09:25,User 104,/,File: Testi e possibili soluzioni secondo compitino,Risorsa,Visualizzato modulo corso,The user with id '44736' viewed the 'resource' activity with course module id '78387'.;
6/02/2020 09:25,User 104,/,File: Risultati scritto 17 giugno 2019,Risorsa,Visualizzato modulo corso,The user with id '44736' viewed the 'resource' activity with course module id '81413'.;
6/02/2020 09:25,User 104,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '44736' viewed the course with id '1750'.;
6/02/2020 09:24,User 104,/,File: Risultati scritto 17 giugno 2019,Risorsa,Visualizzato modulo corso,The user with id '44736' viewed the 'resource' activity with course module id '81413'.;
6/02/2020 09:24,User 104,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '44736' viewed the course with id '1750'.;
6/02/2020 08:34,User 104,/,File: Testi e possibili soluzioni secondo compitino,Risorsa,Visualizzato modulo corso,The user with id '44736' viewed the 'resource' activity with course module id '78387'.;
6/02/2020 08:34,User 104,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '44736' viewed the course with id '1750'.;
6/02/2020 08:33,User 104,/,URL: possibili soluzioni primo compitino,URL,Visualizzato modulo corso,The user with id '44736' viewed the 'url' activity with course module id '75625'.;
6/02/2020 08:33,User 104,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '44736' viewed the course with id '1750'.;
6/02/2020 08:30,User 104,/,Pagina: Modalità di esame,Pagina,Visualizzato modulo corso,The user with id '44736' viewed the 'page' activity with course module id '54157'.;
6/02/2020 08:30,User 104,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '44736' viewed the course with id '1750'.;
6/02/2020 08:30,User 104,/,Pagina: Argomenti d'esame (divisi in prima e seconda parte),Pagina,Visualizzato modulo corso,The user with id '44736' viewed the 'page' activity with course module id '54153'.;
6/02/2020 08:30,User 104,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '44736' viewed the course with id '1750'.;
6/02/2020 02:43,User 81,/,File: Modello Entity Relationship,Risorsa,Visualizzato modulo corso,The user with id '6756' viewed the 'resource' activity with course module id '54218'.;
6/02/2020 02:43,User 81,/,File: Il modello relazionale,Risorsa,Visualizzato modulo corso,The user with id '6756' viewed the 'resource' activity with course module id '54214'.;
6/02/2020 02:34,User 81,/,File: Introduzione ai contenuti del corso,Risorsa,Visualizzato modulo corso,The user with id '6756' viewed the 'resource' activity with course module id '54212'.;
6/02/2020 02:26,User 81,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '6756' viewed the course with id '1750'.;
6/02/2020 02:26,User 81,User 81,Forum: Progetto in  due fasi,Forum,Creata sottoscrizione,The user with id '6756' subscribed the user with id '6756' to the forum with course module id '68399'.;
6/02/2020 02:26,User 81,User 81,Corso: BASI DI DATI - 25880,Sistema,Assegnato ruolo,The user with id '6756' assigned the role with id '5' to the user with id '6756'.;
6/02/2020 02:26,User 81,User 81,Corso: BASI DI DATI - 25880,Sistema,Iscritto utente al corso,The user with id '6756' enrolled the user with id '6756' using the enrolment method 'self' in the course with id '1750'.;
5/02/2020 15:03,User 19,/,Forum: Bacheca del corso (comunicazioni dai docenti),Forum,Visualizzata discussione,The user with id '9279' has viewed the discussion with id '26463' in the forum with course module id '54150'.;
5/02/2020 15:03,User 19,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '9279' viewed the course with id '1750'.;
4/02/2020 19:34,User 53,/,File: DataGrip per produrre rappresentazione grafica schema SQL,Risorsa,Visualizzato modulo corso,The user with id '56164' viewed the 'resource' activity with course module id '79499'.;
4/02/2020 19:34,User 53,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '56164' viewed the course with id '1750'.;
4/02/2020 19:33,User 53,/,File: Progetto - modalità tradizionale e modalità 2 fasi (organizzazione e valutazione),Risorsa,Visualizzato modulo corso,The user with id '56164' viewed the 'resource' activity with course module id '60780'.;
4/02/2020 19:33,User 53,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '56164' viewed the course with id '1750'.;
4/02/2020 19:32,User 53,/,File: Testi e possibili soluzioni secondo compitino,Risorsa,Visualizzato modulo corso,The user with id '56164' viewed the 'resource' activity with course module id '78387'.;
4/02/2020 19:31,User 53,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '56164' viewed the course with id '1750'.;
4/02/2020 19:29,User 53,/,Pagina: Modalità di esame,Pagina,Visualizzato modulo corso,The user with id '56164' viewed the 'page' activity with course module id '54157'.;
4/02/2020 19:28,User 53,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '56164' viewed the course with id '1750'.;
4/02/2020 19:28,User 53,User 53,Forum: Progetto in  due fasi,Forum,Creata sottoscrizione,The user with id '56164' subscribed the user with id '56164' to the forum with course module id '68399'.;
4/02/2020 19:28,User 53,User 53,Corso: BASI DI DATI - 25880,Sistema,Assegnato ruolo,The user with id '56164' assigned the role with id '5' to the user with id '56164'.;
4/02/2020 19:28,User 53,User 53,Corso: BASI DI DATI - 25880,Sistema,Iscritto utente al corso,The user with id '56164' enrolled the user with id '56164' using the enrolment method 'self' in the course with id '1750'.;
4/02/2020 19:21,User 177,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '25041' viewed the course with id '1750'.;
4/02/2020 13:09,User 58,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '53929' viewed the course with id '1750'.;
4/02/2020 12:08,User 19,/,Compito: Consegna progetto,Compito,Visualizzata scheda di conferma consegna,The user with id '9279' viewed the submission confirmation form for the assignment with course module id '54211'.;
4/02/2020 12:08,User 19,/,Compito: Consegna progetto,Compito,Visualizzato modulo corso,The user with id '9279' viewed the 'assign' activity with course module id '54211'.;
4/02/2020 12:08,User 19,/,Compito: Consegna progetto,Compito,Visualizzato stato consegna,The user with id '9279' has viewed the submission status page for the assignment with course module id '54211'.;
4/02/2020 12:08,User 19,/,Compito: Consegna progetto,Compito,Visualizzato modulo corso,The user with id '9279' viewed the 'assign' activity with course module id '54211'.;
4/02/2020 12:08,User 19,User 19,Compito: Consegna progetto,Consegna file,Creata consegna,The user with id '9279' created a file submission and uploaded '1' file/s in the assignment with course module id '54211'.;
4/02/2020 12:08,User 19,/,Compito: Consegna progetto,Consegna file,Caricato file,The user with id '9279' has uploaded a file to the submission with id '50067' in the assignment activity with course module id '54211'.;
4/02/2020 12:08,User 19,/,Compito: Consegna progetto,Compito,Visualizzato modulo corso,The user with id '9279' viewed the 'assign' activity with course module id '54211'.;
4/02/2020 12:07,User 19,User 19,Compito: Consegna progetto,Compito,Visualizzata scheda di consegna,The user with id '9279' viewed their submission for the assignment with course module id '54211'.;
4/02/2020 12:07,User 19,/,Compito: Consegna progetto,Compito,Visualizzato modulo corso,The user with id '9279' viewed the 'assign' activity with course module id '54211'.;
4/02/2020 12:07,User 19,/,Compito: Consegna progetto,Compito,Visualizzato stato consegna,The user with id '9279' has viewed the submission status page for the assignment with course module id '54211'.;
4/02/2020 12:07,User 19,/,Compito: Consegna progetto,Compito,Visualizzato modulo corso,The user with id '9279' viewed the 'assign' activity with course module id '54211'.;
4/02/2020 12:02,User 19,/,File: DataGrip per produrre rappresentazione grafica schema SQL,Risorsa,Visualizzato modulo corso,The user with id '9279' viewed the 'resource' activity with course module id '79499'.;
4/02/2020 12:02,User 19,/,Compito: Consegna progetto,Compito,Visualizzato stato consegna,The user with id '9279' has viewed the submission status page for the assignment with course module id '54211'.;
4/02/2020 12:02,User 19,/,Compito: Consegna progetto,Compito,Visualizzato modulo corso,The user with id '9279' viewed the 'assign' activity with course module id '54211'.;
4/02/2020 12:02,User 19,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '9279' viewed the course with id '1750'.;
4/02/2020 11:28,User 77,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '14689' viewed the course with id '1750'.;
4/02/2020 10:41,User 12,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '16143' viewed the course with id '1750'.;
3/02/2020 19:18,User 115,User 77,Quiz: Primo compitino a.a. 2017-18 - Primo Turno,Quiz,Inviato tentativo quiz,The user with id '14689' has submitted the attempt with id '491612' for the quiz with course module id '54190'.;
3/02/2020 19:18,/,User 77,Corso: BASI DI DATI - 25880,Sistema,Valutato utente,The user with id '-1' updated the grade with id '595296' for the user with id '14689' for the grade item with id '5779'.;
3/02/2020 19:18,User 115,User 77,Corso: BASI DI DATI - 25880,Sistema,Valutato utente,The user with id '2' updated the grade with id '595295' for the user with id '14689' for the grade item with id '5794'.;
3/02/2020 18:50,User 77,/,File: Risultati primo compitino,Risorsa,Visualizzato modulo corso,The user with id '14689' viewed the 'resource' activity with course module id '74046'.;
3/02/2020 18:50,User 77,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '14689' viewed the course with id '1750'.;
3/02/2020 18:49,User 77,/,Wiki: Discussioni progetti,Wiki,Visualizzato modulo corso,The user with id '14689' viewed the 'wiki' activity with course module id '80378'.;
3/02/2020 18:49,User 77,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '14689' viewed the course with id '1750'.;
3/02/2020 18:48,User 77,/,Pagina: Modalità d'esame per i 3 cfu aggiuntivi (per chi ha in piano di studi Basi di Dati per 12 cfu),Pagina,Visualizzato modulo corso,The user with id '14689' viewed the 'page' activity with course module id '76487'.;
3/02/2020 18:48,User 77,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '14689' viewed the course with id '1750'.;
3/02/2020 18:46,User 77,/,Pagina: Argomenti d'esame (divisi in prima e seconda parte),Pagina,Visualizzato modulo corso,The user with id '14689' viewed the 'page' activity with course module id '54153'.;
3/02/2020 18:46,User 77,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '14689' viewed the course with id '1750'.;
3/02/2020 18:45,User 77,User 77,Quiz: Primo compitino a.a. 2017-18 - Primo Turno,Quiz,Visualizzato tentativo quiz,The user with id '14689' has viewed the attempt with id '491612' belonging to the user with id '14689' for the quiz with course module id '54190'.;
3/02/2020 18:45,User 77,User 77,Quiz: Primo compitino a.a. 2017-18 - Primo Turno,Quiz,Avviato tentativo quiz,The user with id '14689' has started the attempt with id '491612' for the quiz with course module id '54190'.;
3/02/2020 18:45,User 77,/,Quiz: Primo compitino a.a. 2017-18 - Primo Turno,Quiz,Visualizzato modulo corso,The user with id '14689' viewed the 'quiz' activity with course module id '54190'.;
3/02/2020 18:45,User 77,/,Corso: BASI DI DATI - 25880,Sistema,Visualizzato corso,The user with id '14689' viewed the course with id '1750'.;
3/02/2020 18:45,User 77,/,Cartella: Testi compitini e scritti anni accademici precedenti,Cartella,Visualizzato modulo corso,The user with id '14689' viewed the 'folder' activity with course module id '54201'.;
3/02/2020 18:43,User 77,/,File: Testi e possibili soluzioni secondo compitino,Risorsa,Visualizzato modulo corso,The user with id '14689' viewed the 'resource' activity with course module id '78387'.;
