User,Time_Theory,Time_Quiz,Time_Forum,Time_Assignment
3,0,0,2,5
6,13,13,0,0
9,0,0,0,0
10,26,22,0,0
11,1,0,0,1
12,0,0,0,0
15,6,0,166,0
18,2,8,0,0
19,21,0,66,368
22,1,3,0,0
23,0,0,2,0
24,15,0,1322,27
25,0,0,0,0
26,0,0,0,0
27,0,0,1,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
35,8,20,0,0
36,0,0,19,0
40,9,0,5,1
41,0,0,7,0
42,0,0,2,0
44,0,1,0,0
48,4,0,0,0
52,11,0,11,0
53,0,0,4,0
54,7,0,1,0
57,1,0,101,0
58,0,0,0,1
59,0,0,0,21
60,0,0,0,0
61,0,0,0,0
64,0,4,26,0
65,0,0,4,0
67,0,0,0,0
70,24,0,2222,0
71,0,0,0,1
72,1,7,0,34
76,12,2,0,0
77,1,0,1,0
79,41,0,0,105
81,0,0,8,0
83,0,0,0,0
84,0,0,1,0
87,4,0,0,0
91,0,0,20,0
92,0,0,0,0
96,0,0,0,0
97,1,0,0,0
104,0,0,0,0
107,0,0,0,0
110,0,0,0,0
114,0,0,0,0
115,0,0,0,0
119,0,0,2,0
120,0,0,1,0
121,0,0,1,0
129,0,0,0,0
130,2,2,0,0
132,11,0,0,28
133,0,0,0,0
134,0,0,0,0
136,0,0,1,0
140,9,0,0,0
141,0,1,0,0
149,0,0,0,1
151,0,0,0,0
152,0,0,0,2
153,6,5,0,0
156,0,3,67,0
157,0,0,0,0
158,0,0,0,0
161,35,0,0,0
162,0,0,1,0
163,0,0,9,1
170,0,0,3,0
175,0,0,1,0
176,19,0,0,0
177,27,0,6,0
179,0,0,0,0
180,30,3,0,10
