User,Time_Theory,Time_Quiz,Time_Forum,Time_Assignment,Cluster
3,0,0,2,5,cluster0
6,13,13,0,0,cluster0
9,0,0,0,0,cluster1
10,26,22,0,0,cluster0
11,1,0,0,1,cluster1
12,0,0,0,0,cluster1
15,6,0,166,0,cluster0
18,2,8,0,0,cluster0
19,21,0,66,368,cluster0
22,1,3,0,0,cluster0
23,0,0,2,0,cluster1
24,15,0,1322,27,cluster0
25,0,0,0,0,cluster1
26,0,0,0,0,cluster1
27,0,0,1,0,cluster1
29,0,0,0,0,cluster1
30,0,0,0,0,cluster1
31,0,0,0,0,cluster1
35,8,20,0,0,cluster0
36,0,0,19,0,cluster1
40,9,0,5,1,cluster1
41,0,0,7,0,cluster1
42,0,0,2,0,cluster1
44,0,1,0,0,cluster0
48,4,0,0,0,cluster1
52,11,0,11,0,cluster1
53,0,0,4,0,cluster1
54,7,0,1,0,cluster1
57,1,0,101,0,cluster0
58,0,0,0,1,cluster1
59,0,0,0,21,cluster0
60,0,0,0,0,cluster1
61,0,0,0,0,cluster1
64,0,4,26,0,cluster0
65,0,0,4,0,cluster1
67,0,0,0,0,cluster1
70,24,0,2222,0,cluster0
71,0,0,0,1,cluster1
72,1,7,0,34,cluster0
76,12,2,0,0,cluster0
77,1,0,1,0,cluster1
79,41,0,0,105,cluster0
81,0,0,8,0,cluster1
83,0,0,0,0,cluster1
84,0,0,1,0,cluster1
87,4,0,0,0,cluster1
91,0,0,20,0,cluster1
92,0,0,0,0,cluster1
96,0,0,0,0,cluster1
97,1,0,0,0,cluster1
104,0,0,0,0,cluster1
107,0,0,0,0,cluster1
110,0,0,0,0,cluster1
114,0,0,0,0,cluster1
115,0,0,0,0,cluster1
119,0,0,2,0,cluster1
120,0,0,1,0,cluster1
121,0,0,1,0,cluster1
129,0,0,0,0,cluster1
130,2,2,0,0,cluster0
132,11,0,0,28,cluster0
133,0,0,0,0,cluster1
134,0,0,0,0,cluster1
136,0,0,1,0,cluster1
140,9,0,0,0,cluster1
141,0,1,0,0,cluster0
149,0,0,0,1,cluster1
151,0,0,0,0,cluster1
152,0,0,0,2,cluster1
153,6,5,0,0,cluster0
156,0,3,67,0,cluster0
157,0,0,0,0,cluster1
158,0,0,0,0,cluster1
161,35,0,0,0,cluster0
162,0,0,1,0,cluster1
163,0,0,9,1,cluster1
170,0,0,3,0,cluster1
175,0,0,1,0,cluster1
176,19,0,0,0,cluster0
177,27,0,6,0,cluster0
179,0,0,0,0,cluster1
180,30,3,0,10,cluster0
