User;Time_Assignment
1;18
2;2
4;50
6;14
7;71
8;22
11;21
13;31
15;2
18;0
19;18
21;39
24;2
27;14
28;6
30;18
31;83
33;0
34;8
36;23
39;79
40;0
44;28
45;9
47;0
48;0
49;0
50;29
51;66
52;1
53;0
55;32
56;20
57;37
59;5
60;18
63;8
64;26
68;17
70;55
71;5
72;31
73;0
75;37
78;3
81;24
84;4
85;2
87;14
88;22
89;40
91;22
92;66
93;0
94;27
95;10
97;0
99;16
101;73
104;14
106;22
108;28
110;44
111;38
112;17
113;0
114;10
118;0
121;62
122;56
123;1
124;64
125;0
126;18
127;56
128;28
129;20
136;0
139;1
140;10
141;11
142;17
145;42
147;0
148;0
149;11
150;4
152;7
153;26
156;61
157;25
158;15
161;13
162;11
165;0
171;87
173;0
174;56
175;0
176;25
177;46
179;69
182;33
184;5
185;3
187;0
188;0
189;0
190;40
192;7
193;65
198;14
199;50
200;22
201;70
202;58
203;5
204;1
207;49
208;0
210;0
211;15
212;2
213;4
215;10
219;7
220;0
221;18
222;45
223;37
224;17
225;8
226;0
227;42
229;50
230;4
231;12
232;6
233;10
235;28
236;11
237;25
238;1
239;27
240;0
241;82
242;0
243;0
