@relation time_analysis_clustered

@attribute Instance_number numeric
@attribute User numeric
@attribute Time_Theory numeric
@attribute Time_Quiz numeric
@attribute Time_Forum numeric
@attribute Time_Assignment numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
0,1,25,0,0,18,cluster1
1,2,24,4,321,2,cluster3
2,3,0,0,1,0,cluster4
3,4,79,2,3,50,cluster2
4,5,0,0,19,0,cluster4
5,6,39,26,11,14,cluster1
6,7,193,13,2050,71,cluster0
7,8,33,20,1957,22,cluster5
8,11,24,0,33,21,cluster3
9,13,30,1,67,31,cluster2
10,14,0,0,1,0,cluster4
11,15,4,0,17,2,cluster1
12,16,0,0,0,0,cluster4
13,18,2,17,3,0,cluster4
14,19,23,0,174,18,cluster3
15,20,0,0,5,0,cluster4
16,21,26,6,316,39,cluster2
17,24,4,0,0,2,cluster1
18,26,8,1,4,0,cluster4
19,27,94,4,10,14,cluster1
20,28,1,0,122,6,cluster3
21,29,2,0,8,0,cluster4
22,30,89,27,142,18,cluster6
23,31,208,6,606,83,cluster0
24,33,26,1,0,0,cluster1
25,34,108,19,642,8,cluster6
26,35,0,0,2,0,cluster4
27,36,42,30,0,23,cluster1
28,37,0,0,9,0,cluster4
29,39,31,10,5,79,cluster2
30,40,0,0,199,0,cluster4
31,44,7,14,2,28,cluster1
32,45,23,0,0,9,cluster1
33,46,0,0,0,0,cluster4
34,47,0,0,51,0,cluster4
35,48,9,4,370,0,cluster3
36,49,15,7,0,0,cluster4
37,50,14,0,0,29,cluster1
38,51,226,10,292,66,cluster0
39,52,37,0,0,1,cluster1
40,53,46,3,3,0,cluster1
41,54,0,0,5,0,cluster4
42,55,20,2,2,32,cluster1
43,56,11,0,0,20,cluster1
44,57,51,11,0,37,cluster1
45,58,0,0,1,0,cluster4
46,59,37,20,4,5,cluster1
47,60,37,2,438,18,cluster3
48,61,7,2,0,0,cluster4
49,62,0,0,0,0,cluster4
50,63,20,31,0,8,cluster1
51,64,42,15,647,26,cluster6
52,66,0,0,0,0,cluster4
53,67,8,0,78,0,cluster4
54,68,28,0,1165,17,cluster3
55,69,0,0,2,0,cluster4
56,70,170,5,2,55,cluster0
57,71,35,10,0,5,cluster1
58,72,65,22,768,31,cluster6
