User;Time_Theory
1;24
2;152
3;96
4;4
6;34
7;5
8;89
9;167
10;3
11;0
12;0
13;102
14;76
15;45
16;37
17;33
18;110
19;8
20;30
21;0
22;40
23;6
24;16
25;78
26;0
27;48
28;8
30;27
31;38
32;58
33;66
34;4
35;2
36;46
37;0
38;6
39;70
42;10
43;37
44;64
45;9
46;0
47;0
48;0
49;0
50;11
51;76
52;0
53;133
54;13
55;35
56;0
57;25
58;18
59;82
60;42
61;3
62;2
63;42
64;7
67;39
68;0
69;58
70;6
72;59
73;61
76;22
77;0
78;5
79;0
81;46
83;5
85;0
86;10
88;142
89;0
90;26
91;90
93;7
95;0
97;2
98;10
99;0
100;39
101;29
102;175
103;5
104;2
105;2
106;54
107;36
108;32
110;0
111;33
112;0
113;55
114;44
115;64
116;7
117;9
118;0
119;32
120;83
122;3
123;125
124;5
125;73
126;0
127;32
128;18
129;74
130;19
131;8
132;2
133;20
134;0
135;26
136;0
137;50
138;24
140;59
141;0
142;37
143;46
144;13
145;0
146;66
147;66
148;0
149;20
150;0
151;44
152;38
153;17
154;49
155;0
156;7
157;38
158;73
160;62
161;0
162;137
163;8
164;0
165;19
166;12
167;103
168;36
169;23
170;0
171;0
172;53
173;33
174;95
175;0
177;0
178;89
179;11
180;42
181;36
182;44
183;54
184;20
185;5
186;0
187;8
188;0
189;44
190;0
191;16
192;0
193;1
194;1
195;2
196;0
197;0
198;34
199;9
200;15
201;7
202;23
203;1
204;79
205;0
207;21
208;10
209;1
210;7
211;41
212;41
213;10
214;38
215;0
216;4
217;26
218;20
219;12
220;0
221;26
222;51
223;0
224;80
225;3
226;8
227;1
228;0
229;83
230;54
231;0
232;7
233;97
234;17
235;43
236;7
237;142
238;17
239;0
240;0
241;0
242;46
243;3
245;4
