Time;User;Action;Information
20/03/2021 15:26:00;178;Quiz view;Quiz
20/03/2021 15:26:00;25;Course view;Resource
20/03/2021 15:26:00;25;Course view;Resource
20/03/2021 15:25:00;178;Quiz view;Quiz
20/03/2021 15:25:00;25;Quiz view summary;Quiz
20/03/2021 15:25:00;25;Quiz close attempt;Quiz
20/03/2021 15:25:00;25;Quiz review;Quiz
20/03/2021 15:25:00;25;Quiz view;Quiz
20/03/2021 15:24:00;217;Quiz view;Quiz
20/03/2021 15:24:00;178;Quiz view;Quiz
20/03/2021 15:24:00;178;Quiz view;Quiz
20/03/2021 15:24:00;25;Quiz view;Quiz
20/03/2021 15:23:00;217;Quiz view;Quiz
20/03/2021 15:23:00;25;Quiz view;Quiz
20/03/2021 15:22:00;217;Quiz view;Quiz
20/03/2021 15:22:00;217;Quiz view;Quiz
20/03/2021 15:22:00;217;Quiz view;Quiz
20/03/2021 15:22:00;217;Quiz view;Quiz
20/03/2021 15:21:00;152;Course view;Quiz
20/03/2021 15:20:00;152;Quiz view summary;Quiz
20/03/2021 15:20:00;152;Quiz close attempt;Quiz
20/03/2021 15:20:00;152;Quiz review;Quiz
20/03/2021 15:20:00;152;Quiz view;Quiz
20/03/2021 15:20:00;217;Quiz view;Quiz
20/03/2021 15:20:00;217;Quiz attempt;Quiz
20/03/2021 15:20:00;217;Course view;Quiz
20/03/2021 15:20:00;217;Course view;Resource
20/03/2021 15:20:00;178;Quiz view;Quiz
20/03/2021 15:20:00;217;Course view;Resource
20/03/2021 15:20:00;178;Quiz view;Quiz
20/03/2021 15:19:00;102;Course view;Resource
20/03/2021 15:18:00;102;Course view;Resource
20/03/2021 15:17:00;102;Course view;Resource
20/03/2021 15:17:00;217;Course view;Resource
20/03/2021 15:17:00;178;Quiz view;Quiz
20/03/2021 15:16:00;178;Quiz view;Quiz
20/03/2021 15:16:00;152;Quiz view;Quiz
20/03/2021 15:16:00;152;Quiz view;Quiz
20/03/2021 15:14:00;25;Quiz view;Quiz
20/03/2021 15:14:00;25;Quiz view;Quiz
20/03/2021 15:13:00;178;Quiz view;Quiz
20/03/2021 15:13:00;178;Quiz view;Quiz
20/03/2021 15:12:00;152;Quiz view;Quiz
20/03/2021 15:12:00;152;Quiz view;Quiz
20/03/2021 15:12:00;178;Course view;Resource
20/03/2021 15:12:00;178;Course view;Resource
20/03/2021 15:11:00;25;Quiz view;Quiz
20/03/2021 15:11:00;25;Quiz view;Quiz
20/03/2021 15:10:00;152;Quiz view;Quiz
20/03/2021 15:10:00;152;Quiz view;Quiz
20/03/2021 15:10:00;25;Quiz view;Quiz
20/03/2021 15:10:00;178;Quiz view;Quiz
20/03/2021 15:10:00;25;Quiz view;Quiz
20/03/2021 15:09:00;178;Quiz view;Quiz
20/03/2021 15:06:00;25;Quiz view;Quiz
20/03/2021 15:06:00;25;Quiz view;Quiz
20/03/2021 15:06:00;123;Quiz view summary;Quiz
20/03/2021 15:06:00;123;Course view;Quiz
20/03/2021 15:06:00;152;Quiz view;Quiz
20/03/2021 15:06:00;178;Quiz view;Quiz
20/03/2021 15:06:00;178;Quiz attempt;Quiz
20/03/2021 15:05:00;178;Course view;Quiz
20/03/2021 15:05:00;152;Quiz view;Quiz
20/03/2021 15:04:00;25;Quiz view;Quiz
20/03/2021 15:04:00;25;Quiz view;Quiz
20/03/2021 15:04:00;152;Quiz view;Quiz
20/03/2021 15:04:00;152;Quiz view;Quiz
20/03/2021 15:03:00;25;Quiz view;Quiz
20/03/2021 15:03:00;25;Quiz view;Quiz
20/03/2021 15:01:00;25;Quiz view;Quiz
20/03/2021 15:01:00;25;Quiz view;Quiz
20/03/2021 14:59:00;25;Quiz view;Quiz
20/03/2021 14:58:00;25;Quiz view;Quiz
20/03/2021 14:58:00;25;Quiz view;Quiz
20/03/2021 14:58:00;25;Quiz attempt;Quiz
20/03/2021 14:58:00;152;Quiz view;Quiz
20/03/2021 14:58:00;152;Quiz view;Quiz
20/03/2021 14:57:00;25;Course view;Quiz
20/03/2021 14:56:00;152;Quiz view;Quiz
20/03/2021 14:56:00;152;Quiz view;Quiz
20/03/2021 14:55:00;152;Quiz view;Quiz
20/03/2021 14:55:00;152;Quiz view;Quiz
20/03/2021 14:52:00;152;Quiz view;Quiz
20/03/2021 14:52:00;152;Quiz view;Quiz
20/03/2021 14:51:00;152;Quiz view;Quiz
20/03/2021 14:51:00;152;Quiz view;Quiz
20/03/2021 14:49:00;152;Quiz view;Quiz
20/03/2021 14:49:00;152;Quiz view;Quiz
20/03/2021 14:49:00;152;Quiz view;Quiz
20/03/2021 14:49:00;152;Quiz view;Quiz
20/03/2021 14:45:00;211;Course view;Resource
20/03/2021 14:45:00;211;Course view;Assignment
20/03/2021 14:44:00;152;Quiz view;Quiz
20/03/2021 14:44:00;152;Quiz attempt;Quiz
20/03/2021 14:44:00;152;Course view;Quiz
20/03/2021 14:40:00;102;Course view;Resource
20/03/2021 14:39:00;137;Course view;Resource
20/03/2021 14:33:00;137;Course view;Resource
20/03/2021 14:25:00;107;Course view;Resource
20/03/2021 14:25:00;107;Course view;Resource
20/03/2021 14:23:00;107;Course view;Resource
20/03/2021 14:22:00;107;Course view;Resource
20/03/2021 14:22:00;107;Course view;Resource
20/03/2021 14:22:00;107;Course view;Resource
20/03/2021 14:13:00;2;Course view;Resource
20/03/2021 14:13:00;2;Course view;Resource
20/03/2021 14:00:00;33;Course view;Resource
20/03/2021 13:59:00;33;Course view;Resource
20/03/2021 13:59:00;33;Course view;Resource
20/03/2021 13:58:00;33;Course view;Resource
20/03/2021 13:58:00;33;Course view;Resource
20/03/2021 13:58:00;33;Course view;Resource
20/03/2021 13:58:00;33;Course view;Resource
20/03/2021 13:58:00;33;Course view;Resource
20/03/2021 13:58:00;33;Course view;Resource
20/03/2021 13:58:00;33;Course view;Resource
20/03/2021 13:58:00;33;Course view;Assignment
20/03/2021 13:54:00;72;Course view;Resource
20/03/2021 13:53:00;72;Course view;Resource
20/03/2021 13:53:00;72;Course view;Resource
20/03/2021 13:50:00;72;Quiz view;Quiz
20/03/2021 13:50:00;72;Quiz view;Quiz
20/03/2021 13:49:00;72;Quiz view;Quiz
20/03/2021 13:49:00;72;Quiz view;Quiz
20/03/2021 13:48:00;72;Quiz view;Quiz
20/03/2021 13:46:00;72;Quiz view;Quiz
20/03/2021 13:46:00;72;Quiz view;Quiz
20/03/2021 13:45:00;72;Quiz view;Quiz
20/03/2021 13:45:00;72;Quiz view;Quiz
20/03/2021 13:45:00;72;Quiz view;Quiz
20/03/2021 13:44:00;72;Quiz view;Quiz
20/03/2021 13:44:00;72;Quiz view;Quiz
20/03/2021 13:44:00;8;Course view;Assignment
20/03/2021 13:44:00;8;Course view;Quiz
20/03/2021 13:44:00;72;Quiz view;Quiz
20/03/2021 13:44:00;72;Quiz view;Quiz
20/03/2021 13:43:00;72;Quiz view;Quiz
20/03/2021 13:43:00;72;Quiz view;Quiz
20/03/2021 13:43:00;72;Quiz view;Quiz
20/03/2021 13:42:00;72;Quiz view;Quiz
20/03/2021 13:41:00;72;Quiz view;Quiz
20/03/2021 13:41:00;72;Quiz view;Quiz
20/03/2021 13:40:00;72;Quiz view;Quiz
20/03/2021 13:40:00;72;Quiz view;Quiz
20/03/2021 13:40:00;72;Quiz view;Quiz
20/03/2021 13:39:00;72;Quiz view;Quiz
20/03/2021 13:39:00;72;Quiz view;Quiz
20/03/2021 13:38:00;72;Quiz view;Quiz
20/03/2021 13:38:00;72;Quiz view;Quiz
20/03/2021 13:38:00;72;Course view;Quiz
20/03/2021 13:34:00;36;Quiz view;Quiz
20/03/2021 13:33:00;36;Quiz view;Quiz
20/03/2021 13:31:00;36;Quiz view;Quiz
20/03/2021 13:31:00;36;Quiz attempt;Quiz
20/03/2021 13:31:00;36;Course view;Quiz
20/03/2021 13:25:00;137;Quiz view summary;Quiz
20/03/2021 13:25:00;137;Quiz close attempt;Quiz
20/03/2021 13:24:00;137;Quiz review;Quiz
20/03/2021 13:24:00;137;Quiz view;Quiz
20/03/2021 13:24:00;137;Quiz view;Quiz
20/03/2021 13:23:00;137;Quiz view;Quiz
20/03/2021 13:23:00;137;Quiz view;Quiz
20/03/2021 13:23:00;137;Quiz view;Quiz
20/03/2021 13:22:00;36;Course view;Resource
20/03/2021 13:22:00;36;Course view;Resource
20/03/2021 13:22:00;137;Quiz view;Quiz
20/03/2021 13:21:00;137;Quiz view;Quiz
20/03/2021 13:21:00;137;Quiz view;Quiz
20/03/2021 13:21:00;137;Quiz view;Quiz
20/03/2021 13:19:00;153;Quiz view summary;Quiz
20/03/2021 13:19:00;153;Quiz close attempt;Quiz
20/03/2021 13:19:00;137;Quiz view;Quiz
20/03/2021 13:19:00;153;Quiz review;Quiz
20/03/2021 13:19:00;137;Quiz view;Quiz
20/03/2021 13:19:00;153;Quiz view;Quiz
20/03/2021 13:18:00;137;Quiz view;Quiz
20/03/2021 13:18:00;137;Quiz view;Quiz
20/03/2021 13:17:00;137;Quiz view;Quiz
20/03/2021 13:17:00;137;Quiz view;Quiz
20/03/2021 13:16:00;137;Quiz view;Quiz
20/03/2021 13:16:00;137;Quiz view;Quiz
20/03/2021 13:16:00;137;Quiz view;Quiz
20/03/2021 13:15:00;137;Quiz view;Quiz
20/03/2021 13:14:00;137;Quiz view;Quiz
20/03/2021 13:14:00;137;Quiz attempt;Quiz
20/03/2021 13:14:00;137;Course view;Quiz
20/03/2021 13:14:00;153;Quiz view;Quiz
20/03/2021 13:13:00;153;Quiz view;Quiz
20/03/2021 13:11:00;153;Quiz view;Quiz
20/03/2021 13:09:00;153;Quiz view;Quiz
20/03/2021 13:08:00;153;Quiz view;Quiz
20/03/2021 13:07:00;153;Quiz view;Quiz
20/03/2021 13:07:00;153;Quiz view;Quiz
20/03/2021 13:07:00;153;Quiz view;Quiz
20/03/2021 13:04:00;153;Quiz view;Quiz
20/03/2021 13:03:00;153;Quiz view;Quiz
20/03/2021 12:58:00;153;Quiz view;Quiz
20/03/2021 12:56:00;114;Quiz view;Quiz
20/03/2021 12:56:00;114;Quiz view;Quiz
20/03/2021 12:54:00;153;Quiz view;Quiz
