@relation time_analysis_clustered

@attribute Instance_number numeric
@attribute User numeric
@attribute Time_Theory numeric
@attribute Time_Quiz numeric
@attribute Time_Forum numeric
@attribute Time_Assignment numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,1,24,0,7,0,cluster1
1,2,152,43,542,13,cluster2
2,3,96,31,545,11,cluster2
3,4,4,28,0,1,cluster0
4,6,34,7,954,6,cluster2
5,7,5,0,0,0,cluster1
6,8,89,21,13,5,cluster0
7,9,167,35,6,2,cluster2
8,10,3,3,0,1,cluster0
9,11,0,0,2,0,cluster1
10,12,0,0,1,0,cluster1
11,13,102,44,210,1,cluster2
12,14,76,20,786,14,cluster2
13,15,45,10,498,0,cluster0
14,16,37,0,0,0,cluster1
15,17,33,14,7,0,cluster0
16,18,110,23,3,23,cluster2
17,19,8,4,346,0,cluster1
18,20,30,0,182,0,cluster1
19,21,0,0,2,0,cluster1
20,22,40,39,396,15,cluster2
21,23,6,4,22,0,cluster1
22,24,16,0,0,0,cluster1
23,25,78,11,750,5,cluster2
24,26,0,0,1,0,cluster1
25,27,48,16,18,0,cluster0
26,28,8,8,660,0,cluster0
27,30,27,20,632,0,cluster0
28,31,38,11,0,0,cluster0
29,32,58,36,0,13,cluster0
30,33,66,20,39,6,cluster0
31,34,4,0,8,0,cluster1
32,35,2,1,0,0,cluster1
33,36,46,13,25,0,cluster0
34,37,0,0,0,0,cluster1
35,38,6,11,0,5,cluster0
36,39,70,14,0,2,cluster0
37,42,10,8,1,0,cluster1
38,43,37,35,0,3,cluster0
39,44,64,28,47,0,cluster0
40,45,9,4,0,0,cluster1
41,46,0,0,0,0,cluster1
42,47,0,0,1,0,cluster1
43,48,0,0,115,0,cluster1
44,49,0,0,1,0,cluster1
45,50,11,0,1,0,cluster1
46,51,76,25,36,9,cluster0
47,52,0,0,4,0,cluster1
48,53,133,28,161,12,cluster2
49,54,13,4,0,2,cluster0
50,55,35,2,5,15,cluster0
51,56,0,0,0,0,cluster1
52,57,25,18,0,9,cluster0
53,58,18,26,1,4,cluster0
54,59,82,25,2993,7,cluster2
55,60,42,12,368,0,cluster0
56,61,3,0,0,0,cluster1
57,62,2,22,0,0,cluster0
58,63,42,38,1,3,cluster0
59,64,7,0,301,0,cluster1
60,67,39,8,2,0,cluster0
61,68,0,0,3,0,cluster1
62,69,58,9,0,1,cluster0
63,70,6,0,5,0,cluster1
64,72,59,64,200,2,cluster2
